bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,udps.srcdst_packet_size_variation,udps.srcdst_udp_packet_count,udps.udp_packet_count,udps.srcdst_tcp_packet_count,udps.tcp_packet_count,udps.srcdst_ack_packet_count,udps.ack_packet_count,udps.srcdst_fin_packet_count,udps.fin_packet_count,udps.srcdst_rst_packet_count,udps.rst_packet_count,udps.srcdst_psh_packet_count,udps.psh_packet_count,udps.srcdst_syn_packet_count,udps.syn_packet_count,udps.srcdst_unique_ports_count,udps.srcdst_icmp_packet_count,udps.icmp_packet_count,udps.srcdst_http_ports_count,udps.http_ports_count,udps.srcdst_bidirectional_duration_avg,udps.bidirectional_duration_avg,udps.srcdst_dns_port_count,udps.dns_port_count,udps.srcdst_dns_port_src_count,udps.dns_port_src_count,udps.srcdst_vul_ports_count,udps.src2dst_packet_count,udps.bidirectional_packet_count,udps.srcdst_src2dst_packet_count,udps.srcdst_bidirectional_packet_count,label
82905,29,26321,82905,17,1066,72876,12,25255,60,907.6206896551726,1796.6034901962153,7354,60,62.70588235294117,4.8446453157371705,74,60,2104.583333333334,2355.8238650912194,7354,0,2960.8928571428573,13123.27497895554,69194,0,5181.5625,17254.667677544534,69194,0,6625.090909090909,21624.007669507268,71818,4,0,0,0,27,5,2,3,2,0,0,0,15,2,2,0,2,0,0,0,12,3,0,3,3644.6726419071806,0,0,350,350,8757,8757,861,861,698,698,1421,1421,1396,1396,350,0,0,350,350,79020.99142857143,79020.99142857143,0,0,0,0,350,5676,9455,5676,9455,DDoS
82905,28,24898,82905,17,1060,72876,11,23838,60,889.2142857142857,2509.938413840037,10189,60,62.35294117647059,4.80808143221634,74,60,2167.090909090909,3748.445449904412,10189,0,3070.555555555556,13360.381668699938,69195,0,5181.5625,17254.928544114577,69195,0,7287.6,22675.381443318653,71817,4,0,0,0,26,4,2,3,2,0,0,0,15,2,2,0,2,0,0,0,11,2,0,3,5062.170968731367,0,0,350,350,8759,8759,862,862,698,698,1421,1421,1396,1396,350,0,0,350,350,79021.12571428572,79021.12571428572,0,0,0,0,350,5677,9457,5677,9457,DDoS
82904,29,24952,82904,17,1060,72875,12,23892,60,860.4137931034484,1918.454372614308,5894,60,62.35294117647059,4.80808143221634,74,60,1991.0,2643.803905532536,5894,0,2960.8571428571427,13123.857945979273,69197,0,5181.5,17255.467056366026,69197,0,6625.0,21623.3921113224,71816,4,0,0,0,27,4,2,3,2,0,0,0,15,2,2,0,2,0,0,0,12,2,0,3,2914.67413844727,0,0,350,350,8774,8774,864,864,699,699,1423,1423,1398,1398,350,0,0,350,350,79225.23428571428,79225.23428571428,0,0,0,0,350,5686,9473,5686,9473,DDoS
82903,27,24838,82903,16,1000,72874,11,23838,60,919.925925925926,2548.6413413051446,11649,60,62.5,4.926120853842977,74,60,2167.090909090909,3741.8181798303735,11649,0,3188.5769230769224,13611.067109299189,69199,0,5526.866666666667,17803.86137437874,69199,0,7287.4,22652.56961239596,71751,4,0,0,0,25,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,3,5792.1704265327,0,0,350,350,8776,8776,865,865,699,699,1423,1423,1398,1398,350,0,0,350,350,79226.40285714286,79226.40285714286,0,0,0,0,350,5687,9475,5687,9475,DDoS
82903,27,24838,82903,16,1000,72875,11,23838,60,919.925925925926,2548.6413413051446,11649,60,62.5,4.926120853842977,74,60,2167.090909090909,3741.8181798303735,11649,0,3188.576923076923,13609.771751717448,69199,0,5526.866666666666,17802.094759833606,69199,0,7287.500000000002,22513.835076088955,71350,4,0,0,0,25,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,3,5792.1704265327,0,0,350,350,8776,8776,866,866,699,699,1423,1423,1398,1398,350,0,0,350,350,79228.82285714286,79228.82285714286,0,0,0,0,350,5687,9475,5687,9475,DDoS
82881,30,25006,82881,17,1060,72860,13,23946,60,833.5333333333333,1692.8888537834869,5894,60,62.35294117647059,4.80808143221634,74,60,1842.0,2231.939477972764,5894,0,2857.9655172413795,12898.24386574378,69202,0,5180.0625,17254.526530618954,69202,0,6071.666666666667,20532.13844565429,71255,4,0,0,0,28,4,2,3,2,0,0,0,15,2,2,0,2,0,0,0,13,2,0,3,2914.67413844727,0,0,350,350,8778,8778,867,867,699,699,1423,1423,1398,1398,350,0,0,350,350,79231.18,79231.18,0,0,0,0,350,5687,9477,5687,9477,DDoS
82885,27,24838,82885,16,1000,72859,11,23838,60,919.925925925926,2483.47221145541,11649,60,62.5,4.926120853842977,74,60,2167.090909090909,3626.094771363415,11649,0,3187.884615384616,13609.195674475175,69197,0,5525.666666666666,17801.50880710744,69197,0,7285.9000000000015,22480.17485820685,71251,4,0,0,0,25,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,3,5792.1704265327,0,0,350,350,8780,8780,868,868,699,699,1423,1423,1398,1398,350,0,0,350,350,79233.53428571428,79233.53428571428,0,0,0,0,350,5688,9479,5688,9479,DDoS
82881,26,24790,82881,17,1060,72859,9,23730,60,953.4615384615385,3148.683956585916,11649,60,62.35294117647059,4.80808143221634,74,60,2636.6666666666665,5109.513357453917,11649,0,3315.24,13875.11170609688,69203,0,5180.0625,17254.79161071401,69203,0,9107.375,25117.114648539096,71255,4,0,0,0,24,4,2,3,2,0,0,0,15,2,2,0,2,0,0,0,9,2,0,3,5792.1704265327,0,0,350,350,8782,8782,869,869,699,699,1423,1423,1398,1398,350,0,0,350,350,79235.89428571428,79235.89428571428,0,0,0,0,350,5689,9481,5689,9481,DDoS
82881,30,25012,82881,18,1120,72859,12,23892,60,833.7333333333333,1927.007577125438,7269,60,62.22222222222223,4.697377936373035,74,60,1991.0000000000005,2711.95484676812,7269,0,2857.9655172413795,12898.651727666176,69204,0,4875.35294117647,16754.345753196307,69204,0,6623.545454545455,21440.7519567931,71255,4,0,0,0,28,4,2,3,2,0,0,0,16,2,2,0,2,0,0,0,12,2,0,3,3602.172712405667,0,0,350,350,8784,8784,870,870,699,699,1423,1423,1398,1398,350,0,0,350,350,79238.25428571428,79238.25428571428,0,0,0,0,350,5690,9483,5690,9483,DDoS
82874,29,24958,82874,18,1120,72844,11,23838,60,860.6206896551723,2101.146275825125,7269,60,62.22222222222223,4.697377936373035,74,60,2167.090909090909,3055.569225350506,7269,0,2959.785714285714,13128.447453715671,69229,0,4874.941176470587,16761.054417423253,69229,0,7284.4,22488.717982332582,71274,4,0,0,0,27,4,2,3,2,0,0,0,16,2,2,0,2,0,0,0,11,2,0,3,3602.172712405667,0,0,350,350,8786,8786,871,871,699,699,1423,1423,1398,1398,350,0,0,350,350,79240.59428571428,79240.59428571428,0,0,0,0,350,5691,9485,5691,9485,DDoS
82881,28,24898,82881,17,1060,72860,11,23838,60,889.2142857142857,2444.341558801604,11649,60,62.352941176470594,4.8080814322163405,74,60,2167.090909090909,3629.515572484721,11649,0,3069.666666666667,13360.497676128914,69205,0,5180.0625,17255.318698761646,69205,0,7286.0,22481.90567248841,71256,4,0,0,0,26,4,2,3,2,0,0,0,15,2,2,0,2,0,0,0,11,2,0,3,5792.1704265327,0,0,350,350,8787,8787,872,872,699,699,1423,1423,1398,1398,350,0,0,350,350,79243.0,79243.0,0,0,0,0,350,5692,9486,5692,9486,DDoS
82874,26,24784,82874,16,1000,72844,10,23784,60,953.2307692307692,2954.805053572128,11649,60,62.5,4.926120853842977,74,60,2378.4,4537.081347689896,11649,0,3314.96,13880.924355267796,69230,0,5524.933333333334,17810.918338667063,69230,0,8093.777777777777,23699.011507749525,71277,4,0,0,0,24,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,10,2,0,3,5792.1704265327,0,0,350,350,8786,8786,872,872,699,699,1423,1423,1398,1398,350,0,0,350,350,79245.54857142858,79245.54857142858,0,0,0,0,350,5692,9485,5692,9485,DDoS
82139,29,24952,82139,17,1060,72109,12,23892,60,860.4137931034484,1918.454372614308,5894,60,62.352941176470594,4.8080814322163405,74,60,1991.0000000000005,2643.803905532536,5894,0,2933.535714285714,13129.8929686821,69217,0,5133.687500000001,17270.282826167997,69217,0,6555.363636363636,21466.369312358,71275,4,0,0,0,27,4,2,3,2,0,0,0,15,2,2,0,2,0,0,0,12,2,0,3,2914.67413844727,0,0,350,350,8789,8789,873,873,699,699,1423,1423,1398,1398,350,0,0,350,350,79245.86,79245.86,0,0,0,0,350,5694,9488,5694,9488,DDoS
82060,26,24766,82060,16,1000,72516,10,23766,60,952.5384615384615,2016.578036789437,8814,60,62.5,4.926120853842977,74,60,2376.6,2763.0519036424603,8814,0,3282.399999999999,13887.346728827168,69297,0,5470.666666666667,17826.64415044701,69297,0,8057.333333333333,23734.251447012182,71345,4,0,0,0,24,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,10,2,0,2,4374.6716448209,0,0,350,350,8786,8786,872,872,699,699,1423,1423,1398,1398,350,0,0,350,350,79246.08285714286,79246.08285714286,0,0,0,0,350,5693,9485,5693,9485,DDoS
82058,27,24820,82058,16,1000,72488,11,23820,60,919.2592592592592,1766.4190545715012,7354,60,62.5,4.926120853842977,74,60,2165.454545454545,2286.879243144961,7354,0,3156.0769230769224,13617.409724093866,69271,0,5470.533333333333,17820.416649236373,69271,0,7248.8,22513.609917361344,71320,4,0,0,0,25,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,2,3644.6726419071806,0,0,350,350,8785,8785,872,872,699,699,1423,1423,1398,1398,350,0,0,350,350,79246.34571428571,79246.34571428571,0,0,0,0,350,5692,9484,5692,9484,DDoS
82013,27,24832,82013,16,1000,73264,11,23832,60,919.7037037037036,2418.6029313637114,11649,60,62.50000000000001,4.926120853842978,74,60,2166.5454545454545,3510.452260425609,11649,0,3154.346153846153,13602.909647402084,69298,0,5467.533333333333,17801.116348888536,69298,0,7326.4,22492.775473224483,71331,4,0,0,0,25,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,3,5792.1704265327,0,0,350,350,8787,8787,873,873,699,699,1423,1423,1398,1398,350,0,0,350,350,79246.48,79246.48,0,0,0,0,350,5692,9486,5692,9486,DDoS
82065,26,24766,82065,16,1000,72496,10,23766,60,952.5384615384614,2058.425363830697,8814,60,62.5,4.926120853842977,74,60,2376.6,2847.4804145263424,8814,0,3282.600000000001,13884.841836813748,69282,0,5471.0,17823.25280557476,69282,0,8055.111111111111,23729.7958347962,71331,4,0,0,0,24,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,10,2,0,2,4374.6716448209,0,0,350,350,8788,8788,873,873,699,699,1423,1423,1398,1398,350,0,0,350,350,79246.75428571428,79246.75428571428,0,0,0,0,350,5692,9487,5692,9487,DDoS
82060,27,24820,82060,16,1000,72543,11,23820,60,919.2592592592592,1668.1581642544154,5894,60,62.5,4.926120853842977,74,60,2165.454545454545,2086.230254005361,5894,0,3156.1538461538457,13621.059996027643,69296,0,5470.666666666668,17825.383965676858,69296,0,7254.3,22520.20188902005,71344,4,0,0,0,25,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,2,2914.67413844727,0,0,350,350,8788,8788,873,873,699,699,1423,1423,1398,1398,350,0,0,350,350,79247.03142857143,79247.03142857143,0,0,0,0,350,5692,9487,5692,9487,DDoS
82060,27,24820,82060,16,1000,72496,11,23820,60,919.2592592592592,1618.2652533498424,5894,60,62.5,4.926120853842977,74,60,2165.454545454545,1981.4228909365293,5894,0,3156.153846153846,13622.288317877605,69296,0,5470.666666666667,17827.062463996645,69296,0,7249.6,22522.13446663822,71345,4,0,0,0,25,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,2,2914.67413844727,0,0,350,350,8791,8791,873,873,699,699,1423,1423,1398,1398,350,0,0,350,350,79247.42571428571,79247.42571428571,0,0,0,0,350,5693,9490,5693,9490,DDoS
81998,26,24778,81998,16,1000,73252,10,23778,60,953.0,2458.163346891333,10189,60,62.50000000000001,4.926120853842978,74,60,2377.8,3622.083771041808,10189,0,3279.92,13867.0963162204,69294,0,5466.533333333333,17800.219809504226,69294,0,8139.111111111111,23701.66818730512,71333,4,0,0,0,24,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,10,2,0,3,5062.170968731367,0,0,350,350,8791,8791,874,874,699,699,1423,1423,1398,1398,350,0,0,350,350,79247.64285714286,79247.64285714286,0,0,0,0,350,5693,9490,5693,9490,DDoS
81899,28,24886,81899,16,1000,72920,12,23886,60,888.7857142857142,2136.275061307915,10189,60,62.50000000000001,4.926120853842978,74,60,1990.5,2980.6877638314527,10189,0,3033.296296296296,13359.67963634439,69304,0,5459.933333333333,17812.15490078401,69304,0,6629.090909090909,21461.34817505436,71330,4,0,0,0,26,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,12,2,0,3,5062.170968731367,0,0,350,350,8791,8791,874,874,699,699,1423,1423,1398,1398,350,0,0,350,350,79247.62,79247.62,0,0,0,0,350,5693,9490,5693,9490,DDoS
81899,25,24712,81899,15,940,73156,10,23772,60,988.48,2042.0619505783848,5894,60,62.66666666666666,5.052109413285654,74,60,2377.2,2747.476895060064,5894,0,3412.458333333333,14147.577291380308,69292,0,5849.928571428571,18405.53532736316,69292,0,8128.444444444446,23582.630510139825,71003,4,0,0,0,23,4,2,2,2,0,0,0,13,2,2,0,2,0,0,0,10,2,0,2,2914.67413844727,0,0,350,350,8788,8788,873,873,699,699,1423,1423,1398,1398,350,0,0,350,350,79247.61428571428,79247.61428571428,0,0,0,0,350,5691,9487,5691,9487,DDoS
81897,28,24880,81897,16,1000,73215,12,23880,60,888.5714285714284,1546.0475396018696,4434,60,62.5,4.926120853842977,74,60,1990.0,1884.402340748435,4434,0,3033.2222222222226,13350.282824239326,69294,0,5459.8,17799.003335660604,69294,0,6655.90909090909,21346.86537388825,71005,4,0,0,0,26,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,12,2,0,2,2184.676635111018,0,0,350,350,8788,8788,872,872,699,699,1423,1423,1398,1398,350,0,0,350,350,79247.60571428572,79247.60571428572,0,0,0,0,350,5691,9487,5691,9487,DDoS
81834,25,24718,81834,16,1000,73152,9,23718,60,988.72,2319.905072052159,8729,60,62.5,4.926120853842977,74,60,2635.333333333333,3373.3979531030727,8729,0,3409.7500000000005,14149.007927274864,69303,0,5455.6,17802.610461871678,69303,0,9144.0,25000.550119661653,71005,4,0,0,0,23,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,9,2,0,2,4332.171693658197,0,0,350,350,8785,8785,871,871,699,699,1423,1423,1398,1398,350,0,0,350,350,79247.44285714286,79247.44285714286,0,0,0,0,350,5690,9484,5690,9484,DDoS
81428,27,24820,81428,15,940,72746,12,23880,60,919.2592592592594,1854.353953280113,5894,60,62.66666666666666,5.052109413285654,74,60,1990.0,2424.1192214905604,5894,0,3131.846153846153,13606.226664854024,69305,0,5816.285714285714,18417.49296155725,69305,0,6613.272727272727,21359.649065894828,71004,4,0,0,0,25,4,2,2,2,0,0,0,13,2,2,0,2,0,0,0,12,2,0,2,2914.67413844727,0,0,350,350,8783,8783,870,870,699,699,1422,1422,1398,1398,350,0,0,350,350,79246.13714285714,79246.13714285714,0,0,0,0,350,5688,9482,5688,9482,DDoS
81319,25,24706,81319,15,940,72640,10,23766,60,988.24,2124.9488676201127,8729,60,62.66666666666666,5.052109413285654,74,60,2376.6000000000004,2910.587997104518,8729,0,3388.291666666667,14152.627645036731,69300,0,5808.499999999999,18418.27181298297,69300,0,8071.111111111111,23593.548633283444,70977,4,0,0,0,23,4,2,2,2,0,0,0,13,2,2,0,2,0,0,0,10,2,0,2,4332.171693658197,0,0,350,350,8779,8779,869,869,699,699,1421,1421,1398,1398,350,0,0,350,350,79244.52,79244.52,0,0,0,0,350,5686,9478,5686,9478,DDoS
81323,26,24766,81323,16,1000,72641,10,23766,60,952.5384615384615,1877.556651198983,7269,60,62.5,4.926120853842977,74,60,2376.6,2476.0161191361863,7269,0,3252.92,13871.850654352746,69303,0,5421.533333333333,17812.374093255938,69303,0,8071.222222222223,23593.505874380862,70977,4,0,0,0,24,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,10,2,0,2,3602.172712405667,0,0,350,350,8779,8779,869,869,699,699,1421,1421,1398,1398,350,0,0,350,350,79242.91428571429,79242.91428571429,0,0,0,0,350,5686,9478,5686,9478,DDoS
81324,23,24598,81324,15,940,72638,8,23658,60,1069.4782608695652,2283.842294140716,7269,60,62.66666666666666,5.052109413285654,74,60,2957.25,3185.586411591167,7269,0,3696.545454545455,14772.047888873394,69305,0,5808.857142857143,18419.69724488996,69305,0,10376.857142857143,26719.248663517043,70961,4,0,0,0,21,4,2,2,2,0,0,0,13,2,2,0,2,0,0,0,8,2,0,2,3602.172712405667,0,0,350,350,8775,8775,868,868,699,699,1420,1420,1398,1398,350,0,0,350,350,79241.29428571429,79241.29428571429,0,0,0,0,350,5685,9474,5685,9474,DDoS
81331,28,24874,81331,16,1000,73175,12,23874,60,888.357142857143,1443.6178630065278,4434,60,62.5,4.926120853842977,74,60,1989.5,1673.4745292355065,4434,0,3012.259259259259,13346.130864246164,69307,0,5422.066666666667,17798.699348414146,69307,0,6652.272727272727,21330.852186871994,70946,4,0,0,0,26,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,12,2,0,2,2184.676635111018,0,0,350,350,8776,8776,867,867,699,699,1419,1419,1398,1398,350,0,0,350,350,79239.71142857143,79239.71142857143,0,0,0,0,350,5685,9475,5685,9475,DDoS
81331,28,24874,81331,16,1000,73175,12,23874,60,888.357142857143,1443.6178630065278,4434,60,62.5,4.926120853842977,74,60,1989.5,1673.4745292355062,4434,0,3012.2592592592587,13346.525602604172,69309,0,5422.066666666667,17799.249043014093,69309,0,6652.272727272727,21331.18476358455,70947,4,0,0,0,26,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,12,2,0,2,2184.676635111018,0,0,350,350,8777,8777,866,866,699,699,1418,1418,1398,1398,350,0,0,350,350,79238.15428571429,79238.15428571429,0,0,0,0,350,5685,9476,5685,9476,DDoS
81331,25,24718,81331,16,1000,73175,9,23718,60,988.72,2472.483813900508,8814,60,62.5,4.926120853842977,74,60,2635.333333333333,3684.218200649902,8814,0,3388.7916666666665,14144.068112844943,69313,0,5422.066666666668,17800.28368741299,69313,0,9146.875,24980.99390358026,70952,4,0,0,0,23,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,9,2,0,2,4374.6716448209,0,0,350,350,8770,8770,864,864,699,699,1418,1418,1398,1398,350,0,0,350,350,79238.87714285715,79238.87714285715,0,0,0,0,350,5681,9469,5681,9469,DDoS
81330,25,24718,81330,16,1000,73175,9,23718,60,988.72,2480.835116783594,8814,60,62.5,4.926120853842977,74,60,2635.333333333333,3701.021987235418,8814,0,3388.7499999999995,14144.469582167783,69315,0,5422.000000000001,17800.82617264074,69315,0,9146.875,24980.58815753601,70951,4,0,0,0,23,4,2,2,2,0,0,0,14,2,2,0,2,0,0,0,9,2,0,2,4374.6716448209,0,0,350,350,8764,8764,862,862,699,699,1418,1418,1398,1398,350,0,0,350,350,79239.6,79239.6,0,0,0,0,350,5678,9463,5678,9463,DDoS
81330,25,24712,81330,15,940,73175,10,23772,60,988.48,2468.3919212043024,11649,60,62.66666666666666,5.052109413285654,74,60,2377.2000000000003,3560.403591354965,11649,0,3388.7500000000005,14144.720103428976,69316,0,5809.285714285715,18407.41958027783,69316,0,8130.555555555556,23564.902949678744,70950,4,0,0,0,23,4,2,2,2,0,0,0,13,2,2,0,2,0,0,0,10,2,0,2,5792.1704265327,0,0,350,350,8761,8761,861,861,699,699,1418,1418,1398,1398,350,0,0,350,350,79240.31714285714,79240.31714285714,0,0,0,0,350,5676,9460,5676,9460,DDoS
81319,27,24832,81319,16,1000,73209,11,23832,60,919.7037037037036,1935.6339016300583,7269,60,62.5,4.926120853842977,74,60,2166.5454545454545,2618.315311937673,7269,0,3127.6538461538457,13683.244410423453,69748,0,5421.266666666666,17917.09375136599,69748,0,7320.9,22512.82482127317,71381,4,0,0,0,25,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,11,2,0,3,3602.172712405667,0,0,350,350,8760,8760,861,861,699,699,1418,1418,1398,1398,350,0,0,350,350,79241.04571428572,79241.04571428572,0,0,0,0,350,5675,9459,5675,9459,DDoS
