bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,udps.srcdst_packet_size_variation,udps.srcdst_udp_packet_count,udps.udp_packet_count,udps.srcdst_tcp_packet_count,udps.tcp_packet_count,udps.srcdst_ack_packet_count,udps.ack_packet_count,udps.srcdst_fin_packet_count,udps.fin_packet_count,udps.srcdst_rst_packet_count,udps.rst_packet_count,udps.srcdst_psh_packet_count,udps.psh_packet_count,udps.srcdst_syn_packet_count,udps.syn_packet_count,udps.srcdst_unique_ports_count,udps.srcdst_icmp_packet_count,udps.icmp_packet_count,udps.srcdst_http_ports_count,udps.http_ports_count,udps.srcdst_bidirectional_duration_avg,udps.bidirectional_duration_avg,udps.srcdst_dns_port_count,udps.dns_port_count,udps.srcdst_dns_port_src_count,udps.dns_port_src_count,udps.srcdst_vul_ports_count,udps.src2dst_packet_count,udps.bidirectional_packet_count,udps.srcdst_src2dst_packet_count,udps.srcdst_bidirectional_packet_count
582,14,2320,582,7,1900,581,7,420,60,165.71428571428572,211.9239444748003,751,60,271.42857142857144,266.89439680821147,751,60,60,0,60,0,44.76923076923077,151.6438557092208,549,1,97,222.1035794398641,550,0,96.83333333333334,221.7173125100218,549,0,0,0,0,14,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,0,0,0,345.5,0,0,115,147,12888,18991,0,0,17,44,6445,6644,25,59,1,0,0,0,0,2485.4347826086955,2070.190476190476,0,0,0,0,0,10513,19040,6468,12908
1,3,214,1,2,140,0,1,74,66,71.33333333333333,4.618802153517004,74,66,70,5.656854249492381,74,74,74,0,74,0,0.5,0.7071067811865476,1,1,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,350,349,3383,4004,298,328,0,0,1740,2092,316,346,1,0,0,350,339,885.8428571428572,870.9942857142858,0,0,0,0,350,2631,4179,2336,3541
0,2,120,0,1,60,0,1,60,60,60,0,60,60,60,0,60,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,350,350,350,350,0,0,350,350,0,0,350,350,350,0,0,0,0,0.04,0.04,0,0,0,0,0,350,700,350,700
68,9,866,68,5,498,68,4,368,60,96.22222222222224,70.72089114571764,252,60,99.6,85.23379611398286,252,60,92,60.06662967072483,182,0,8.5,23.23790008,66,0,17,34,68,1,22.666666666666664,37.52776749732568,66,2,0,0,0,8,2,0,2,1,0,0,0,4,1,0,1,1,0,0,0,4,1,0,1,95.04209594,0,0,68,350,720,4352,136,700,0,0,143,743,136,700,1,0,0,68,350,100.76470588235294,105.91714285714286,0,0,0,0,68,2269,4702,408,788
3265,10,1798,3265,9,1724,0,1,74,66,179.79999999999998,94.53841077,253,66,191.5555555555556,92.19559521895704,253,74,74,0,74,0,362.77777777777777,458.1666666666667,1371,0,408.125,467.7109722589674,1371,0,0,0,0,2,0,0,0,9,6,0,2,1,0,0,0,8,6,0,2,1,0,0,0,1,0,0,0,90.91158708694216,0,0,350,350,737,1125,97,125,29,29,445,642,38,66,1,0,0,350,343,177.32857142857142,185.9028571428572,0,0,0,0,350,715,1187,502,785
0,2,357,0,1,297,0,1,60,60,178.5,167.58430714121175,297,297,297,0,297,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,136.8320137979413,0,0,350,350,704,704,37,37,57,57,566,566,222,222,1,0,0,350,350,1083.8028571428572,1083.8028571428572,0,0,0,0,350,810,936,810,936
180871,60,32372,180871,32,25077,180835,28,7295,60,539.5333333333331,984.7287412202968,4194,60,783.6562500000001,1244.3703060863172,4194,60,260.5357142857142,435.59184787655056,1484,0,3065.610169491524,12971.184380848334,58781,0,5834.548387096775,17575.24234415884,58781,0,6697.592592592592,18749.18376532954,59015,2,0,0,0,59,24,0,2,1,0,0,0,31,13,0,1,1,0,0,0,28,11,0,1,1948.9220097274288,0,0,12,70,561,6202,19,131,3,4,254,1136,24,138,2,0,0,12,70,130801.08333333331,106270.3,0,0,0,0,12,2771,6271,282,573
24,2,126,0,1,60,0,1,66,60,63,4.242640687119285,66,60,60,0,60,66,66,0,66,24,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.4641016151377544,0,0,14,14,55,55,2,2,1,1,14,14,4,4,1,0,0,14,14,41.57142857142857,41.57142857142857,0,0,0,0,14,29,57,29,57
0,1,297,0,1,297,0,0,0,297,297,0,297,297,297,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,171.47302994931886,0,0,350,350,702,877,0,8,22,22,516,611,256,261,1,0,0,350,348,906.4942857142858,905.6542857142856,0,0,0,0,350,860,1113,772,937
1,3,214,1,2,140,0,1,74,66,71.33333333333333,4.618802153517004,74,66,70,5.656854249492381,74,74,74,0,74,0,0.5,0.7071067811865476,1,1,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,350,350,1974,2701,304,334,0,0,792,1198,302,334,1,0,0,350,340,724.9371428571428,743.6971428571428,0,0,0,0,350,1765,2868,1409,2125
81693,26,24778,81693,16,1000,73107,10,23778,60,953,2437.526418318374,8814,60,62.5,4.926120853842977,74,60,2377.8,3583.133600635064,8814,0,3267.72,14066.395275383573,70274,0,5446.2,18068.87785352799,70274,0,8123,24007.71676982216,72139,4,0,0,0,24,4,2,3,2,0,0,0,14,2,2,0,2,0,0,0,10,2,0,3,4374.671645,0,0,350,350,9137,9137,935,935,720,720,1475,1475,1440,1440,350,0,0,350,350,80455.21428571429,80455.21428571429,0,0,0,0,350,5866,9857,5866,9857
0,3,198,0,2,132,0,1,66,66,66,0,66,66,66,0,66,66,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,4,350,346,2895,7198,306,534,0,0,1394,3764,322,548,1,0,0,350,272,866.8142857142857,875.6828571428572,0,0,0,0,350,4069,7480,2015,3056
1028,6,374,1028,3,194,1028,3,180,60,62.33333333333333,2.9439202887759484,66,62,64.66666666666667,2.309401076758505,66,60,60,0,60,0,205.6,281.0752568263525,515,512,514,2.8284271247461903,516,513,514,1.4142135623730951,515,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2.8284271247461903,0,0,250,350,2595,3289,440,492,90,312,456,511,530,804,1,0,0,250,350,207.572,364.57142857142856,0,0,0,0,250,1902,3847,1438,2905
1183,15,12962,1183,9,963,167,6,11999,66,864.1333333333334,1620.4247620682083,5858,66,107,117.05127081753534,419,66,1999.8333333333333,2179.592477199962,5858,0,84.49999999999999,265.77774115284313,997,0,147.875,348.2960306980256,997,0,33.4,67.65205097,154,3,0,0,0,13,2,1,1,2,0,0,0,7,1,1,0,1,0,0,0,6,1,0,1,2842.0425020279577,0,0,350,350,3997,3997,523,523,678,678,749,749,737,737,2,0,0,350,350,367.0514285714286,367.0514285714286,0,0,0,0,350,2725,4919,2725,4919
